"reporter_desc","Year","variable","value","Source"
"Canada",2025,"Total_Net_Wgt",28211808.372,"Tinned Imports"
"Chile",2004,"Total_Net_Wgt",7275331.146,"Tinned Imports"
"Chile",2005,"Total_Net_Wgt",7649241.729,"Tinned Imports"
"Chile",2006,"Total_Net_Wgt",8451534.726,"Tinned Imports"
"Chile",2007,"Total_Net_Wgt",7808316.853,"Tinned Imports"
"Chile",2008,"Total_Net_Wgt",8507140.627,"Tinned Imports"
"Chile",2009,"Total_Net_Wgt",7042005.056,"Tinned Imports"
"Chile",2010,"Total_Net_Wgt",10750642.608,"Tinned Imports"
"Chile",2011,"Total_Net_Wgt",12419234.46,"Tinned Imports"
"Chile",2012,"Total_Net_Wgt",10827761.106,"Tinned Imports"
"Chile",2013,"Total_Net_Wgt",16354618.93,"Tinned Imports"
"Chile",2014,"Total_Net_Wgt",16917782.342,"Tinned Imports"
"Chile",2015,"Total_Net_Wgt",19274887.405,"Tinned Imports"
"Chile",2016,"Total_Net_Wgt",15445772.487,"Tinned Imports"
"Chile",2017,"Total_Net_Wgt",21947004.067,"Tinned Imports"
"Chile",2018,"Total_Net_Wgt",22338270.936,"Tinned Imports"
"Chile",2019,"Total_Net_Wgt",23893590.76,"Tinned Imports"
"Chile",2020,"Total_Net_Wgt",29519908.42,"Tinned Imports"
"Chile",2021,"Total_Net_Wgt",24664482.848,"Tinned Imports"
"Chile",2022,"Total_Net_Wgt",28181400.7,"Tinned Imports"
"Chile",2023,"Total_Net_Wgt",26486972.111,"Tinned Imports"
"Chile",2024,"Total_Net_Wgt",33951945.433,"Tinned Imports"
"Chile",2025,"Total_Net_Wgt",33359772.443,"Tinned Imports"
"China",2016,"Total_Net_Wgt",5713968.267,"Tinned Imports"
"China",2017,"Total_Net_Wgt",4964247.765,"Tinned Imports"
"China",2018,"Total_Net_Wgt",5933794.506,"Tinned Imports"
"China",2019,"Total_Net_Wgt",6319531.201,"Tinned Imports"
"China",2020,"Total_Net_Wgt",6856987.222,"Tinned Imports"
"China",2021,"Total_Net_Wgt",5710269.308,"Tinned Imports"
"China",2022,"Total_Net_Wgt",6246155,"Tinned Imports"
"China",2023,"Total_Net_Wgt",6666104.656,"Tinned Imports"
"China",2024,"Total_Net_Wgt",4786201.34,"Tinned Imports"
"Colombia",2010,"Total_Net_Wgt",7295575.97,"Tinned Imports"
"Colombia",2014,"Total_Net_Wgt",30222501.69,"Tinned Imports"
"Colombia",2016,"Total_Net_Wgt",28553760.47,"Tinned Imports"
"Colombia",2017,"Total_Net_Wgt",25498754.45,"Tinned Imports"
"Colombia",2018,"Total_Net_Wgt",32198118.95,"Tinned Imports"
"Colombia",2019,"Total_Net_Wgt",31197428.97,"Tinned Imports"
"Colombia",2020,"Total_Net_Wgt",46408175.37,"Tinned Imports"
"Colombia",2021,"Total_Net_Wgt",39771255.69,"Tinned Imports"
"Colombia",2022,"Total_Net_Wgt",33992126.37,"Tinned Imports"
"Colombia",2023,"Total_Net_Wgt",30332627.51,"Tinned Imports"
"Colombia",2024,"Total_Net_Wgt",6208359.7,"Tinned Imports"
"Colombia",2025,"Total_Net_Wgt",22649650.78,"Tinned Imports"
"Croatia",2015,"Total_Net_Wgt",85048797,"Tinned Imports"
"Croatia",2018,"Total_Net_Wgt",3236745.766,"Tinned Imports"
"Croatia",2019,"Total_Net_Wgt",3848208.002,"Tinned Imports"
"Czechia",2014,"Total_Net_Wgt",5534204,"Tinned Imports"
"Czechia",2015,"Total_Net_Wgt",5262253,"Tinned Imports"
"Czechia",2016,"Total_Net_Wgt",5397815,"Tinned Imports"
"Czechia",2017,"Total_Net_Wgt",5914270.48,"Tinned Imports"
"Czechia",2018,"Total_Net_Wgt",7526146.258,"Tinned Imports"
"Czechia",2019,"Total_Net_Wgt",7951088.355,"Tinned Imports"
"Czechia",2020,"Total_Net_Wgt",8110143.906,"Tinned Imports"
"Czechia",2021,"Total_Net_Wgt",7801123.292,"Tinned Imports"
"Czechia",2022,"Total_Net_Wgt",7968859.946,"Tinned Imports"
"Czechia",2023,"Total_Net_Wgt",8216027.277,"Tinned Imports"
"Czechia",2024,"Total_Net_Wgt",9393754.021,"Tinned Imports"
"Czechia",2025,"Total_Net_Wgt",10048408.576,"Tinned Imports"
"Denmark",2010,"Total_Net_Wgt",7443200,"Tinned Imports"
"Denmark",2011,"Total_Net_Wgt",7992600,"Tinned Imports"
"Denmark",2012,"Total_Net_Wgt",6532600,"Tinned Imports"
"Denmark",2013,"Total_Net_Wgt",9833200,"Tinned Imports"
"Denmark",2014,"Total_Net_Wgt",8195052,"Tinned Imports"
"Denmark",2015,"Total_Net_Wgt",6966819,"Tinned Imports"
"Denmark",2016,"Total_Net_Wgt",8184941,"Tinned Imports"
"Denmark",2017,"Total_Net_Wgt",8455385,"Tinned Imports"
"Denmark",2018,"Total_Net_Wgt",7307138,"Tinned Imports"
"Denmark",2019,"Total_Net_Wgt",6981782,"Tinned Imports"
"Denmark",2020,"Total_Net_Wgt",6917453,"Tinned Imports"
"Denmark",2021,"Total_Net_Wgt",6437934,"Tinned Imports"
"Denmark",2022,"Total_Net_Wgt",6661517,"Tinned Imports"
"Denmark",2023,"Total_Net_Wgt",6901308,"Tinned Imports"
