"reporter_desc","Year","variable","value","Source"
"Colombia",2015,"Total_Net_Wgt",3897077,"Raw Exports"
"Colombia",2016,"Total_Net_Wgt",33900253,"Raw Exports"
"Colombia",2017,"Total_Net_Wgt",9464102,"Raw Exports"
"Colombia",2018,"Total_Net_Wgt",11949075,"Raw Exports"
"Colombia",2019,"Total_Net_Wgt",23585055,"Raw Exports"
"Colombia",2020,"Total_Net_Wgt",15263551,"Raw Exports"
"Colombia",2021,"Total_Net_Wgt",16695509.3,"Raw Exports"
"Colombia",2022,"Total_Net_Wgt",13441948.32,"Raw Exports"
"Colombia",2023,"Total_Net_Wgt",11770373.69,"Raw Exports"
"Colombia",2025,"Total_Net_Wgt",5608251,"Raw Exports"
"Croatia",2010,"Total_Net_Wgt",2752037,"Raw Exports"
"Croatia",2011,"Total_Net_Wgt",3208166,"Raw Exports"
"Croatia",2012,"Total_Net_Wgt",2139270,"Raw Exports"
"Croatia",2013,"Total_Net_Wgt",2442491,"Raw Exports"
"Croatia",2014,"Total_Net_Wgt",2207347,"Raw Exports"
"Croatia",2015,"Total_Net_Wgt",4817341,"Raw Exports"
"Croatia",2016,"Total_Net_Wgt",2340833.74,"Raw Exports"
"Croatia",2017,"Total_Net_Wgt",2976055.15,"Raw Exports"
"Croatia",2018,"Total_Net_Wgt",3067383.257,"Raw Exports"
"Croatia",2019,"Total_Net_Wgt",2894788.511,"Raw Exports"
"Croatia",2020,"Total_Net_Wgt",3328195.559,"Raw Exports"
"Croatia",2021,"Total_Net_Wgt",4824927.033,"Raw Exports"
"Croatia",2022,"Total_Net_Wgt",3725115.735,"Raw Exports"
"Croatia",2023,"Total_Net_Wgt",3350997.751,"Raw Exports"
"Croatia",2024,"Total_Net_Wgt",3290989.002,"Raw Exports"
"Croatia",2025,"Total_Net_Wgt",3475904.027,"Raw Exports"
"Côte d'Ivoire",2008,"Total_Net_Wgt",8045363,"Raw Exports"
"Côte d'Ivoire",2009,"Total_Net_Wgt",20998744,"Raw Exports"
"Côte d'Ivoire",2010,"Total_Net_Wgt",4109861,"Raw Exports"
"Côte d'Ivoire",2018,"Total_Net_Wgt",1909814,"Raw Exports"
"Denmark",2025,"Total_Net_Wgt",1279561,"Raw Exports"
"Ecuador",2010,"Total_Net_Wgt",40787248.54,"Raw Exports"
"Ecuador",2011,"Total_Net_Wgt",6719066.11,"Raw Exports"
"Ecuador",2012,"Total_Net_Wgt",8053342.597,"Raw Exports"
"Ecuador",2013,"Total_Net_Wgt",12273749.68,"Raw Exports"
"Ecuador",2014,"Total_Net_Wgt",18239868.09,"Raw Exports"
"Ecuador",2016,"Total_Net_Wgt",12387101.572,"Raw Exports"
"Ecuador",2017,"Total_Net_Wgt",24456636.81,"Raw Exports"
"Ecuador",2018,"Total_Net_Wgt",31138788.63,"Raw Exports"
"Ecuador",2019,"Total_Net_Wgt",12944829.54,"Raw Exports"
"Ecuador",2020,"Total_Net_Wgt",9867217.92,"Raw Exports"
"Ecuador",2021,"Total_Net_Wgt",8643439.19,"Raw Exports"
"Ecuador",2024,"Total_Net_Wgt",21423653,"Raw Exports"
"El Salvador",2002,"Total_Net_Wgt",5958606.76,"Raw Exports"
"El Salvador",2003,"Total_Net_Wgt",7581431.81,"Raw Exports"
"El Salvador",2016,"Total_Net_Wgt",4425280,"Raw Exports"
"El Salvador",2017,"Total_Net_Wgt",4368037,"Raw Exports"
"El Salvador",2018,"Total_Net_Wgt",2054537,"Raw Exports"
"El Salvador",2019,"Total_Net_Wgt",2334353.42,"Raw Exports"
"El Salvador",2020,"Total_Net_Wgt",3844639,"Raw Exports"
"El Salvador",2021,"Total_Net_Wgt",3292328,"Raw Exports"
"El Salvador",2022,"Total_Net_Wgt",2596498,"Raw Exports"
"Estonia",2014,"Total_Net_Wgt",4257179.9,"Raw Exports"
"Fiji",2014,"Total_Net_Wgt",4711579.49,"Raw Exports"
"Fiji",2015,"Total_Net_Wgt",66704993.48,"Raw Exports"
"Fiji",2016,"Total_Net_Wgt",56535074.14,"Raw Exports"
"Fiji",2017,"Total_Net_Wgt",66895567.99,"Raw Exports"
"Fiji",2018,"Total_Net_Wgt",47452252.91,"Raw Exports"
"Fiji",2019,"Total_Net_Wgt",39985468.65,"Raw Exports"
"Fiji",2020,"Total_Net_Wgt",33547663.36,"Raw Exports"
"Fiji",2021,"Total_Net_Wgt",21061822.715,"Raw Exports"
"Fiji",2022,"Total_Net_Wgt",33956803.7,"Raw Exports"
"Fiji",2023,"Total_Net_Wgt",25398972.92,"Raw Exports"
"Fiji",2024,"Total_Net_Wgt",49153353.27,"Raw Exports"
"Fiji",2025,"Total_Net_Wgt",33734899.501,"Raw Exports"
"France",2000,"Total_Net_Wgt",143118854.417,"Raw Exports"
"France",2001,"Total_Net_Wgt",158325161.622,"Raw Exports"
"France",2002,"Total_Net_Wgt",126953280.785,"Raw Exports"
"France",2003,"Total_Net_Wgt",188584833.861,"Raw Exports"
"France",2004,"Total_Net_Wgt",174257577.802,"Raw Exports"
"France",2005,"Total_Net_Wgt",133888868.505,"Raw Exports"
"France",2006,"Total_Net_Wgt",124792501.502,"Raw Exports"
"France",2007,"Total_Net_Wgt",83378487.925,"Raw Exports"
"France",2008,"Total_Net_Wgt",143307735.388,"Raw Exports"
"France",2009,"Total_Net_Wgt",95172280.415,"Raw Exports"
"France",2010,"Total_Net_Wgt",80009500,"Raw Exports"
"France",2011,"Total_Net_Wgt",72799400,"Raw Exports"
"France",2012,"Total_Net_Wgt",97053100,"Raw Exports"
"France",2013,"Total_Net_Wgt",81890900,"Raw Exports"
"France",2014,"Total_Net_Wgt",58773970,"Raw Exports"
"France",2015,"Total_Net_Wgt",81175474,"Raw Exports"
"France",2016,"Total_Net_Wgt",90713541,"Raw Exports"
"France",2017,"Total_Net_Wgt",83565949,"Raw Exports"
"France",2018,"Total_Net_Wgt",92652965.181,"Raw Exports"
"France",2019,"Total_Net_Wgt",83481121,"Raw Exports"
"France",2020,"Total_Net_Wgt",75138779,"Raw Exports"
"France",2021,"Total_Net_Wgt",41511181.936,"Raw Exports"
"France",2022,"Total_Net_Wgt",24560074.56,"Raw Exports"
"France",2023,"Total_Net_Wgt",24216382,"Raw Exports"
"France",2024,"Total_Net_Wgt",22595508,"Raw Exports"
"French Polynesia",2015,"Total_Net_Wgt",1464023,"Raw Exports"
"Germany",2017,"Total_Net_Wgt",2208146.341,"Raw Exports"
"Ghana",2010,"Total_Net_Wgt",8769836.1,"Raw Exports"
"Ghana",2011,"Total_Net_Wgt",4484124.65,"Raw Exports"
"Ghana",2012,"Total_Net_Wgt",15703058.8,"Raw Exports"
"Ghana",2013,"Total_Net_Wgt",6111049.79,"Raw Exports"
"Ghana",2014,"Total_Net_Wgt",2073026.89,"Raw Exports"
"Ghana",2015,"Total_Net_Wgt",11624653.74,"Raw Exports"
"Ghana",2016,"Total_Net_Wgt",12252428.61,"Raw Exports"
"Ghana",2017,"Total_Net_Wgt",28553618.45,"Raw Exports"
"Ghana",2018,"Total_Net_Wgt",36845620.9,"Raw Exports"
"Ghana",2019,"Total_Net_Wgt",29312893.36,"Raw Exports"
"Ghana",2020,"Total_Net_Wgt",21409955.72,"Raw Exports"
"Ghana",2021,"Total_Net_Wgt",14920135.66,"Raw Exports"
"Ghana",2022,"Total_Net_Wgt",46809368.986,"Raw Exports"
"Ghana",2023,"Total_Net_Wgt",37928951,"Raw Exports"
"Guatemala",2022,"Total_Net_Wgt",4376311,"Raw Exports"
"Guatemala",2023,"Total_Net_Wgt",2727104,"Raw Exports"
"Guatemala",2024,"Total_Net_Wgt",4297076,"Raw Exports"
"India",2011,"Total_Net_Wgt",17171362,"Raw Exports"
"India",2012,"Total_Net_Wgt",19698811,"Raw Exports"
"India",2013,"Total_Net_Wgt",36605583,"Raw Exports"
"India",2014,"Total_Net_Wgt",36260403,"Raw Exports"
"India",2015,"Total_Net_Wgt",29350863,"Raw Exports"
"India",2016,"Total_Net_Wgt",21468478,"Raw Exports"
"India",2017,"Total_Net_Wgt",28025538,"Raw Exports"
"India",2018,"Total_Net_Wgt",54841228,"Raw Exports"
"India",2019,"Total_Net_Wgt",45672653,"Raw Exports"
"India",2020,"Total_Net_Wgt",40352149,"Raw Exports"
"India",2021,"Total_Net_Wgt",38689581.626,"Raw Exports"
"India",2022,"Total_Net_Wgt",36034176.803,"Raw Exports"
"India",2023,"Total_Net_Wgt",51348178.667,"Raw Exports"
"India",2024,"Total_Net_Wgt",46183719.158,"Raw Exports"
"India",2025,"Total_Net_Wgt",29464538.099,"Raw Exports"
"Indonesia",2012,"Total_Net_Wgt",11114023,"Raw Exports"
"Indonesia",2013,"Total_Net_Wgt",366040872,"Raw Exports"
"Indonesia",2014,"Total_Net_Wgt",104121894,"Raw Exports"
"Indonesia",2015,"Total_Net_Wgt",90002096.332,"Raw Exports"
"Indonesia",2016,"Total_Net_Wgt",73733691.1900001,"Raw Exports"
"Indonesia",2017,"Total_Net_Wgt",121307044.62,"Raw Exports"
"Indonesia",2018,"Total_Net_Wgt",86200137.92,"Raw Exports"
"Indonesia",2019,"Total_Net_Wgt",88526387.01,"Raw Exports"
"Indonesia",2020,"Total_Net_Wgt",113680675.86,"Raw Exports"
"Indonesia",2021,"Total_Net_Wgt",109557679.19,"Raw Exports"
"Indonesia",2022,"Total_Net_Wgt",120918814.07,"Raw Exports"
"Indonesia",2023,"Total_Net_Wgt",130600231.56,"Raw Exports"
"Indonesia",2024,"Total_Net_Wgt",197643600.92,"Raw Exports"
"Ireland",2001,"Total_Net_Wgt",1903250,"Raw Exports"
"Ireland",2011,"Total_Net_Wgt",3165929,"Raw Exports"
"Ireland",2012,"Total_Net_Wgt",3057271,"Raw Exports"
"Ireland",2013,"Total_Net_Wgt",1794824,"Raw Exports"
"Ireland",2014,"Total_Net_Wgt",6021761,"Raw Exports"
"Ireland",2015,"Total_Net_Wgt",2371786,"Raw Exports"
"Ireland",2016,"Total_Net_Wgt",2078184,"Raw Exports"
"Ireland",2018,"Total_Net_Wgt",2205567,"Raw Exports"
"Ireland",2019,"Total_Net_Wgt",2212459,"Raw Exports"
"Ireland",2020,"Total_Net_Wgt",1933693,"Raw Exports"
"Ireland",2021,"Total_Net_Wgt",1887687,"Raw Exports"
"Ireland",2022,"Total_Net_Wgt",2619332,"Raw Exports"
"Ireland",2023,"Total_Net_Wgt",2326520,"Raw Exports"
"Ireland",2024,"Total_Net_Wgt",3200625,"Raw Exports"
"Ireland",2025,"Total_Net_Wgt",3079311.115,"Raw Exports"
"Italy",2000,"Total_Net_Wgt",6862016,"Raw Exports"
"Italy",2001,"Total_Net_Wgt",4706391,"Raw Exports"
"Italy",2002,"Total_Net_Wgt",4364770,"Raw Exports"
"Italy",2003,"Total_Net_Wgt",3778357,"Raw Exports"
"Italy",2004,"Total_Net_Wgt",5284510,"Raw Exports"
"Italy",2005,"Total_Net_Wgt",6379308,"Raw Exports"
"Italy",2006,"Total_Net_Wgt",6937251,"Raw Exports"
"Italy",2007,"Total_Net_Wgt",5451784,"Raw Exports"
"Italy",2009,"Total_Net_Wgt",4220511,"Raw Exports"
"Italy",2010,"Total_Net_Wgt",2491000,"Raw Exports"
"Italy",2011,"Total_Net_Wgt",4646100,"Raw Exports"
"Italy",2012,"Total_Net_Wgt",2454100,"Raw Exports"
"Italy",2013,"Total_Net_Wgt",3368700,"Raw Exports"
"Italy",2014,"Total_Net_Wgt",3562114,"Raw Exports"
"Italy",2015,"Total_Net_Wgt",3369486,"Raw Exports"
"Italy",2016,"Total_Net_Wgt",2762057,"Raw Exports"
"Italy",2017,"Total_Net_Wgt",2722282,"Raw Exports"
"Italy",2018,"Total_Net_Wgt",2308287,"Raw Exports"
"Italy",2019,"Total_Net_Wgt",2428587,"Raw Exports"
"Italy",2020,"Total_Net_Wgt",2332067,"Raw Exports"
"Italy",2021,"Total_Net_Wgt",3214563,"Raw Exports"
"Italy",2022,"Total_Net_Wgt",2433340,"Raw Exports"
"Italy",2023,"Total_Net_Wgt",2098319,"Raw Exports"
"Italy",2024,"Total_Net_Wgt",2324942,"Raw Exports"
"Italy",2025,"Total_Net_Wgt",1475172,"Raw Exports"
"Japan",2010,"Total_Net_Wgt",75588774,"Raw Exports"
"Japan",2011,"Total_Net_Wgt",67069916,"Raw Exports"
"Japan",2012,"Total_Net_Wgt",51243338,"Raw Exports"
"Japan",2013,"Total_Net_Wgt",71005770,"Raw Exports"
"Japan",2014,"Total_Net_Wgt",62881694,"Raw Exports"
"Japan",2015,"Total_Net_Wgt",40115483,"Raw Exports"
"Japan",2016,"Total_Net_Wgt",22887520,"Raw Exports"
"Japan",2017,"Total_Net_Wgt",37062326,"Raw Exports"
"Japan",2018,"Total_Net_Wgt",55767213,"Raw Exports"
"Japan",2019,"Total_Net_Wgt",41278996,"Raw Exports"
"Japan",2020,"Total_Net_Wgt",63550779,"Raw Exports"
"Japan",2021,"Total_Net_Wgt",57639398,"Raw Exports"
"Japan",2022,"Total_Net_Wgt",22263835,"Raw Exports"
"Japan",2023,"Total_Net_Wgt",35693252,"Raw Exports"
"Japan",2024,"Total_Net_Wgt",46903413,"Raw Exports"
"Japan",2025,"Total_Net_Wgt",32092556,"Raw Exports"
"Kiribati",2017,"Total_Net_Wgt",1863994.5,"Raw Exports"
"Luxembourg",2013,"Total_Net_Wgt",2176731,"Raw Exports"
"Madagascar",2016,"Total_Net_Wgt",2092163.29,"Raw Exports"
"Madagascar",2017,"Total_Net_Wgt",3960802.55,"Raw Exports"
"Madagascar",2019,"Total_Net_Wgt",2761595.29,"Raw Exports"
"Madagascar",2023,"Total_Net_Wgt",5110087.93,"Raw Exports"
"Malaysia",2018,"Total_Net_Wgt",3569601.41,"Raw Exports"
"Malaysia",2019,"Total_Net_Wgt",4520419.52,"Raw Exports"
"Malaysia",2020,"Total_Net_Wgt",8626067.12,"Raw Exports"
"Malaysia",2021,"Total_Net_Wgt",3184884.44,"Raw Exports"
"Malaysia",2022,"Total_Net_Wgt",3638585.79,"Raw Exports"
"Malaysia",2023,"Total_Net_Wgt",7131140.06,"Raw Exports"
"Malaysia",2024,"Total_Net_Wgt",7006799.7,"Raw Exports"
"Malaysia",2025,"Total_Net_Wgt",15924065.55,"Raw Exports"
"Maldives",2018,"Total_Net_Wgt",49582691.99,"Raw Exports"
"Malta",2010,"Total_Net_Wgt",5248800,"Raw Exports"
"Malta",2011,"Total_Net_Wgt",1926300,"Raw Exports"
"Malta",2012,"Total_Net_Wgt",3376000,"Raw Exports"
"Malta",2013,"Total_Net_Wgt",5466300,"Raw Exports"
"Malta",2014,"Total_Net_Wgt",6001000,"Raw Exports"
