"Year","PNA","Measure","variable","value"
1997,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
1998,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
1999,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2000,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2001,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2002,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2003,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2004,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2005,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2006,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2007,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2008,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2009,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2010,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2011,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2012,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2013,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2014,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2015,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2016,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2017,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2018,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2019,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2020,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2021,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2022,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
2023,"Non-PNA Member","American Samoa","Fleet_catch_in_own_national_waters",0
1997,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",7545
1998,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",5053
1999,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",7521
2000,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",6971
2001,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",5236
2002,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",5188
2003,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",5686
2004,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",4107
2005,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3018
2006,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",4962
2007,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",4377
2008,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3956
2009,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3636
2010,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2559
2011,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2916
2012,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2519
2013,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2584
2014,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2911
2015,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3907
2016,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3457
2017,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2918
2018,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2390
2019,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3009
2020,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",3193
2021,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2888
2022,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2888
2023,"Non-PNA Member","Australia","Fleet_catch_in_own_national_waters",2529
1997,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
1998,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
1999,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2000,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2001,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2002,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2003,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2004,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2005,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2006,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2007,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2008,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2009,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2010,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2011,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2012,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2013,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2014,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2015,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2016,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2017,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2018,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2019,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2020,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2021,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2022,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
2023,"Non-PNA Member","Australia (includes Norfolk Island)","Fleet_catch_in_own_national_waters",0
1997,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
1998,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
1999,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2000,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2001,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2002,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2003,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2004,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2005,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2006,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2007,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2008,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2009,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2010,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2011,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2012,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2013,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2014,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2015,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2016,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2017,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2018,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2019,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2020,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2021,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2022,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
2023,"Non-PNA Member","Belize","Fleet_catch_in_own_national_waters",0
1997,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
1998,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
1999,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2000,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2001,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2002,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2003,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2004,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2005,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2006,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2007,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2008,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2009,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2010,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2011,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2012,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2013,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2014,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2015,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
2016,"Non-PNA Member","Canada","Fleet_catch_in_own_national_waters",0
