"reporter_desc","Year","variable","value","Source"
"Algeria",2010,"Total_Net_Wgt",2327279,"Raw Imports"
"Algeria",2012,"Total_Net_Wgt",2846475,"Raw Imports"
"Algeria",2013,"Total_Net_Wgt",2081651,"Raw Imports"
"Algeria",2014,"Total_Net_Wgt",5551129,"Raw Imports"
"Algeria",2015,"Total_Net_Wgt",11915370.91,"Raw Imports"
"Algeria",2016,"Total_Net_Wgt",6659497,"Raw Imports"
"Areas, nes",2008,"Total_Net_Wgt",5965168,"Raw Imports"
"Areas, nes",2010,"Total_Net_Wgt",11300364,"Raw Imports"
"Areas, nes",2016,"Total_Net_Wgt",27526201,"Raw Imports"
"Areas, nes",2018,"Total_Net_Wgt",5260692,"Raw Imports"
"Areas, nes",2019,"Total_Net_Wgt",4337310.66,"Raw Imports"
"Areas, nes",2022,"Total_Net_Wgt",2830472.1,"Raw Imports"
"Australia",2025,"Total_Net_Wgt",1155383.77,"Raw Imports"
"Belgium",2013,"Total_Net_Wgt",1806792.75,"Raw Imports"
"Belgium",2022,"Total_Net_Wgt",1491235.88,"Raw Imports"
"Belgium",2023,"Total_Net_Wgt",1356556.18,"Raw Imports"
"Belgium",2024,"Total_Net_Wgt",3154072.06,"Raw Imports"
"Belgium",2025,"Total_Net_Wgt",1075269.39,"Raw Imports"
"Benin",2016,"Total_Net_Wgt",3447593,"Raw Imports"
"Brazil",2003,"Total_Net_Wgt",3197330,"Raw Imports"
"Brazil",2015,"Total_Net_Wgt",1925057,"Raw Imports"
"Brazil",2016,"Total_Net_Wgt",2796524,"Raw Imports"
"Brazil",2017,"Total_Net_Wgt",2283083,"Raw Imports"
"Burkina Faso",2024,"Total_Net_Wgt",1404090,"Raw Imports"
"Cameroon",2011,"Total_Net_Wgt",6494024,"Raw Imports"
"Cameroon",2012,"Total_Net_Wgt",3645271,"Raw Imports"
"Cameroon",2013,"Total_Net_Wgt",2994501,"Raw Imports"
"Cameroon",2022,"Total_Net_Wgt",13118856.11,"Raw Imports"
"Cameroon",2023,"Total_Net_Wgt",5790951.16,"Raw Imports"
"Canada",2010,"Total_Net_Wgt",5628754,"Raw Imports"
"Canada",2011,"Total_Net_Wgt",7117707,"Raw Imports"
"Canada",2012,"Total_Net_Wgt",6916148,"Raw Imports"
"Canada",2013,"Total_Net_Wgt",7765623,"Raw Imports"
"Canada",2014,"Total_Net_Wgt",6183720,"Raw Imports"
"Canada",2015,"Total_Net_Wgt",5452596,"Raw Imports"
"Canada",2016,"Total_Net_Wgt",7358500,"Raw Imports"
"Canada",2017,"Total_Net_Wgt",9344693,"Raw Imports"
"Canada",2018,"Total_Net_Wgt",7784465,"Raw Imports"
"Canada",2019,"Total_Net_Wgt",6533602,"Raw Imports"
"Canada",2020,"Total_Net_Wgt",4077662.442,"Raw Imports"
"Canada",2021,"Total_Net_Wgt",5263752.69,"Raw Imports"
"Canada",2022,"Total_Net_Wgt",8855302.953,"Raw Imports"
"Canada",2023,"Total_Net_Wgt",3947577.081,"Raw Imports"
"Canada",2024,"Total_Net_Wgt",5092228.408,"Raw Imports"
"Canada",2025,"Total_Net_Wgt",6792305.748,"Raw Imports"
"Chile",2025,"Total_Net_Wgt",1363587.742,"Raw Imports"
"China",2010,"Total_Net_Wgt",23939463,"Raw Imports"
"China",2011,"Total_Net_Wgt",30920721,"Raw Imports"
"China",2012,"Total_Net_Wgt",38815882,"Raw Imports"
"China",2015,"Total_Net_Wgt",2750335,"Raw Imports"
"China",2016,"Total_Net_Wgt",81584453.638,"Raw Imports"
"China",2017,"Total_Net_Wgt",75722846.191,"Raw Imports"
"China",2018,"Total_Net_Wgt",114685293,"Raw Imports"
"China",2019,"Total_Net_Wgt",97685527.426,"Raw Imports"
"China",2020,"Total_Net_Wgt",46535917,"Raw Imports"
"China",2021,"Total_Net_Wgt",23093997.503,"Raw Imports"
"China",2022,"Total_Net_Wgt",3325503,"Raw Imports"
"China",2023,"Total_Net_Wgt",33891190,"Raw Imports"
"China",2024,"Total_Net_Wgt",145866853,"Raw Imports"
"China",2025,"Total_Net_Wgt",1121610,"Raw Imports"
"Colombia",2010,"Total_Net_Wgt",1877419,"Raw Imports"
"Colombia",2014,"Total_Net_Wgt",22461454.66,"Raw Imports"
"Colombia",2016,"Total_Net_Wgt",13266736.84,"Raw Imports"
"Colombia",2017,"Total_Net_Wgt",7129725.8,"Raw Imports"
"Colombia",2018,"Total_Net_Wgt",18883952.58,"Raw Imports"
"Colombia",2019,"Total_Net_Wgt",13523723.57,"Raw Imports"
"Colombia",2020,"Total_Net_Wgt",12640983.48,"Raw Imports"
"Colombia",2021,"Total_Net_Wgt",18394311.78,"Raw Imports"
"Colombia",2022,"Total_Net_Wgt",11152511.89,"Raw Imports"
"Colombia",2023,"Total_Net_Wgt",11562746.69,"Raw Imports"
"Colombia",2024,"Total_Net_Wgt",2984715.56,"Raw Imports"
"Colombia",2025,"Total_Net_Wgt",13246128.36,"Raw Imports"
"Costa Rica",2018,"Total_Net_Wgt",2123874.96,"Raw Imports"
"Costa Rica",2020,"Total_Net_Wgt",3791155.25,"Raw Imports"
"Croatia",2015,"Total_Net_Wgt",18357444,"Raw Imports"
"Croatia",2023,"Total_Net_Wgt",1233145.29,"Raw Imports"
