STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency,CURRENCY,Currency,GEO_PICT,Pacific Island Countries and territories,INDICATOR,Indicator,TIME_PERIOD,Time,OBS_VALUE,Observation value,UNIT_MEASURE,Unit of measure,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation Status,DATA_SOURCE,Data source,OBS_COMMENT,Comment
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NC,New Caledonia,GDPCPCVR,"Variation rate of Gross Domestic Product per capita, current prices",2018,,10.32,,PERCENT,percent,,,,,,,10177200 thousands USD / 271772 persons. Converted 0.0099 XPF/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NC,New Caledonia,GDPCPCVR,"Variation rate of Gross Domestic Product per capita, current prices",2019,,-6.89,,PERCENT,percent,,,,,,,9494000 thousands USD / 272289 persons. Converted 0.0094 XPF/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NC,New Caledonia,GDPCPCVR,"Variation rate of Gross Domestic Product per capita, current prices",2020,,-0.16,,PERCENT,percent,,,,,,,9504000 thousands USD / 273015 persons. Converted 0.0096 XPF/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NC,New Caledonia,GDPCPCVR,"Variation rate of Gross Domestic Product per capita, current prices",2021,,5.58,,PERCENT,percent,,,,,,,10058400 thousands USD / 273674 persons. Converted 0.0099 XPF/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2006,,-8.48,,PERCENT,percent,,,,,,,Converted 0.6485 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2007,,14.69,,PERCENT,percent,,,,,,,Converted 0.7349 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2008,,-9.81,,PERCENT,percent,,,,,,,Converted 0.7029 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2009,,-5.15,,PERCENT,percent,,,,,,,Converted 0.6247 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2010,,26.51,,PERCENT,percent,,,,,,,Converted 0.7205 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2011,,17.94,,PERCENT,percent,,,,,,,Converted 0.79 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2012,,6.95,,PERCENT,percent,,,,,,,Converted 0.8102 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2013,,11.31,,PERCENT,percent,,,,,,,Converted 0.8201 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2014,,6.95,,PERCENT,percent,,,,,,,Converted 0.8296 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2015,,-13.26,,PERCENT,percent,,,,,,,Converted 0.6974 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2016,,4.67,,PERCENT,percent,,,,,,,Converted 0.6961 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2017,,6.06,,PERCENT,percent,,,,,,,Converted 0.7105 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2018,,15.31,,PERCENT,percent,,,,,,,Converted 0.6919 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,NU,Niue,GDPCVR,"Variation rate of Gross Domestic Product, current prices",2019,,2.28,,PERCENT,percent,,,,,,,Converted 0.6588 NZD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2005,,21681,,USD,USD,3,thousands,,,,,Converted 0.7637 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2006,,22893,,USD,USD,3,thousands,,,,,Converted 0.753 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2007,,27017,,USD,USD,3,thousands,,,,,Converted 0.8368 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2008,,30006,,USD,USD,3,thousands,,,,,Converted 0.8388 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2009,,26925,,USD,USD,3,thousands,,,,,Converted 0.7799 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2010,,31396,,USD,USD,3,thousands,,,,,Converted 0.9173 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2011,,38252,,USD,USD,3,thousands,,,,,Converted 1.0315 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2012,,37201,,USD,USD,3,thousands,,,,,Converted 1.0354 AUD/USD,
DATAFLOW,SPC:DF_NATIONAL_ACCOUNTS(1.0),Gross Domestic Product for Pacific Island Countries and Territories,I,A,Annual,USD,US Dollar,TV,Tuvalu,GDPC,"Gross Domestic Product, current prices",2013,,37108,,USD,USD,3,thousands,,,,,Converted 0.9654 AUD/USD,
