"Species","reporter_desc","Year","flow_desc","Total_Gross_Wgt","Total_Net_Wgt","Total_Domestic_Currency_FOBValue","Total_Domestic_Currency_CIFValue","Total_Domestic_Currency_PrimaryValue","Domestic_Price"
"Tuna N.E.C","Belgium",2010,"Export",0,551.7,10040.2909732801,0,0.01322237,23.9665941634947
"Tuna N.E.C","Botswana",2010,"Import",0,16769.175,0,551133.99447481,0.083741469,4.99377393342248
"Yellow Fin","Brazil",2010,"Export",0,222710,843152,0,0.843152,3.78587400655561
"Tuna N.E.C","Brazil",2010,"Export",0,265690,1729197,0,1.729197,6.50832549211487
"Big Eye","Brazil",2010,"Export",0,128570,613623,0,0.613623,4.7726763630707
"Yellow Fin","Brunei Darussalam",2010,"Import",0,1471.76,0,18748.9982280151,0.013889858,9.43758357340871
"Tuna N.E.C","Brunei Darussalam",2010,"Import",0,38179.62,0,262883.000829466,0.189270643,4.95737367213189
"Yellow Fin","Bulgaria",2010,"Import",0,49900,0,67380.0001956454,0.092740558,1.85852821643287
"Blue Fin","Bulgaria",2010,"Import",0,2100,0,5689.99962869548,0.007582083,3.61051571428571
"Big Eye","Canada",2010,"Import",0,629467,4224957.34665225,0,4.100587477,6.51438038372147
"Albacore","Canada",2010,"Import",0,3345008,11393508.5973646,0,11.01415683,3.29271464522656
"Yellow Fin","Canada",2010,"Import",0,619547,5706781.85612436,0,5.541201932,8.94395733011378
"Tuna N.E.C","Canada",2010,"Import",0,550993,6762688.03198262,0,6.56574661,11.9162069391081
"Blue Fin","Canada",2010,"Import",0,89082,254773.923029947,0,0.2467774,2.77022743090636
"Albacore","Canada",2010,"Export",0,5442475,21336380.0700872,0,20.754686649,3.81346476538707
"Tuna N.E.C","Canada",2010,"Export",0,83295,872353.3732788,0,0.848111021,10.1820159793505
"Yellow Fin","Cabo Verde",2010,"Export",0,9636144,1256020667.02345,0,14.977710369,1.55432612557471
"Blue Fin","Cabo Verde",2010,"Import",0,3148,0,1571020.98258006,0.020372843,6.47167820838628
"Blue Fin","Chile",2010,"Import",0,2036.678,35175.526,37420.772,0.037420772,18.3734355651703
"Big Eye","China",2010,"Export",0,4733815,39439240,0,39.43924,8.33138599628418
"Big Eye","China",2010,"Import",0,191857,0,1049512,1.049512,5.47028255419401
"Yellow Fin","China",2010,"Import",0,3576612,0,6551235,6.551235,1.83168736222995
"Tuna N.E.C","China",2010,"Export",0,2962298,11374634,0,11.374634,3.8398007222771
"Tuna N.E.C","China",2010,"Import",0,1125580,0,1681089,1.681089,1.4935313349562
"Albacore","China",2010,"Export",0,1701673,3561145,0,3.561145,2.09273168229149
"Blue Fin","China",2010,"Import",0,33102,0,307905,0.307905,9.30170382454233
"Yellow Fin","China",2010,"Export",0,3614937,15002981,0,15.002981,4.15027454143738
"Albacore","China",2010,"Import",0,1550402,0,4218128,4.218128,2.72066728500092
"Big Eye","Colombia",2010,"Export",0,580695,988513.44,0,0.98851344,1.70229369979077
"Yellow Fin","Colombia",2010,"Export",0,5589270,9439540.57,0,9.43954057,1.68886823681805
"Albacore","Colombia",2010,"Import",0,1877419,0,4455084.38,4.45508438,2.37298353750548
"Albacore","Croatia",2010,"Import",0,3278,0,11866,0.011866,3.61989017693716
"Blue Fin","Croatia",2010,"Export",0,2741149,42775405,0,42.775405,15.6049178647348
"Yellow Fin","Croatia",2010,"Import",0,379889,0,1000297,1.000297,2.63312967735312
"Yellow Fin","Cyprus",2010,"Import",0,11500,0,32400.0003103036,0.043390282,3.773068
"Blue Fin","Czechia",2010,"Import",0,23500,0,346359.999192592,0.45573033,19.39278
"Yellow Fin","Czechia",2010,"Import",0,39400,0,435959.999778763,0.580687284,14.7382559390863
"Tuna N.E.C","Czechia",2010,"Import",0,4700,0,57169.9992985473,0.076743901,16.3284895744681
"Yellow Fin","Czechia",2010,"Export",0,7800,165500.001280579,0,0.221734017,28.4274380769231
"Tuna N.E.C","Czechia",2010,"Export",0,0,5389.99978765486,0,0.007119203,Inf
"Blue Fin","Czechia",2010,"Export",0,4100,99260.0010285849,0,0.130473602,31.8228297560976
"Yellow Fin","Denmark",2010,"Export",0,42700,313029.998246126,0,0.396423251,9.2839168852459
"Yellow Fin","Denmark",2010,"Import",0,88100,0,1389409.99810253,1.833684223,20.8136688195233
"Tuna N.E.C","Denmark",2010,"Import",0,37500,0,152119.999853401,0.200834734,5.35559290666667
"Blue Fin","Denmark",2010,"Import",0,0,0,400,0.000570792,Inf
"Tuna N.E.C","Denmark",2010,"Export",0,8200,141109.998492329,0,0.186321862,22.7221782926829
"Blue Fin","Dominican Rep.",2010,"Import",0,111917.45,0,224420.82,0.22442082,2.0052352872586
"Big Eye","Ecuador",2010,"Import",0,17579110.81,0,23751177.23,23.75117723,1.35110231039041
"Big Eye","Ecuador",2010,"Export",0,8819768.71,5899894.4,0,5.8998944,0.668939809420467
"Tuna N.E.C","Ecuador",2010,"Export",0,3421965.8,11330308.53,0,11.33030853,3.31105253302064
"Yellow Fin","Ecuador",2010,"Export",0,6213780.16,9201982.44,0,9.20198244,1.48089925987983
"Yellow Fin","Ecuador",2010,"Import",0,30900805.13,0,52923567.19,52.92356719,1.71269217638019
"Albacore","Ecuador",2010,"Export",0,2334619.7,17472960.04,0,17.47296004,7.48428535919576
"Yellow Fin","El Salvador",2010,"Import",0,9676082,0,17512306.84,17.51230684,1.80985515004937
"Tuna N.E.C","Ethiopia",2010,"Import",0,1698.19,0,236728.791852992,0.015819461,9.31548354424416
"Big Eye","Faeroe Isds",2010,"Import",0,0,0,13474.000331222,0.002676722,Inf
"Yellow Fin","Finland",2010,"Import",0,600,0,3449.9997060568,0.004755854,7.92642333333333
"Yellow Fin","France",2010,"Import",0,7975600,0,31966799.9972512,42.186813058,5.28948456015848
"Tuna N.E.C","France",2010,"Import",0,211600,0,1032119.99729095,1.339928598,6.33236577504726
"Blue Fin","France",2010,"Export",0,175000,1834870.00094627,0,2.443509508,13.9629114742857
"Albacore","France",2010,"Export",0,766900,2194539.99817099,0,2.912824611,3.79818048115791
"Tuna N.E.C","France",2010,"Export",0,215700,1347299.9969469,0,1.803782522,8.36245953639314
"Big Eye","France",2010,"Export",0,3839900,4514529.99942585,0,6.015310066,1.56652779134873
"Albacore","France",2010,"Import",0,3753500,0,9219420.00166201,12.206197012,3.25195071586519
"Blue Fin","France",2010,"Import",0,579600,0,4918000.00179901,6.425125517,11.0854477518979
"Yellow Fin","France",2010,"Export",0,39065400,63507470.0083071,0,84.455215978,2.16189303009825
"Big Eye","France",2010,"Import",0,247800,0,1939700.00083132,2.574720615,10.390317251816
"Tuna N.E.C","Gambia",2010,"Export",0,48806,1466665.01320443,0,0.052698111,1.07974656804491
"Blue Fin","Germany",2010,"Import",0,32592,0,447409.998230295,0.591110714,18.1366812101129
"Yellow Fin","Germany",2010,"Export",0,197789,2297811.00226777,0,3.054486826,15.4431582443917
"Yellow Fin","Germany",2010,"Import",0,203738,0,1349929.00454837,1.78927256,8.78222305117357
"Tuna N.E.C","Germany",2010,"Import",0,38705,0,239872.000004152,0.316010385,8.1645881669035
"Tuna N.E.C","Germany",2010,"Export",0,15823,157002.998854965,0,0.210812226,13.3231514883398
"Albacore","Germany",2010,"Import",0,55413,0,294545.000912346,0.391794999,7.07045276379189
"Albacore","Germany",2010,"Export",0,6847,46469.0004093669,0,0.06135717,8.96117569738571
"Big Eye","Germany",2010,"Export",0,3804,78391.0007734461,0,0.104007316,27.3415657202944
"Big Eye","Germany",2010,"Import",0,2075,0,31742.0000115709,0.042388486,20.4281860240964
"Tuna N.E.C","Ghana",2010,"Export",0,788736.1,4442305.49082525,0,3.09255793,3.92090324000639
"Tuna N.E.C","Greece",2010,"Export",0,44300,147299.999662079,0,0.188286778,4.25026586907449
"Tuna N.E.C","Greece",2010,"Import",0,42600,0,95660.0008883287,0.126250836,2.96363464788732
"Albacore","Greece",2010,"Import",0,433200,0,1543719.99975816,2.052075034,4.73701531394275
"Albacore","Greece",2010,"Export",0,35500,316570.000466456,0,0.412513836,11.620108056338
"Blue Fin","Greece",2010,"Export",0,886200,10023339.998635,0,13.648561339,15.4012201974723
"Yellow Fin","Greece",2010,"Import",0,150000,0,616509.999949112,0.819359003,5.46239335333333
"Big Eye","Greece",2010,"Import",0,0,0,2379.99984980881,0.003244762,Inf
"Blue Fin","Greece",2010,"Import",0,4200,0,24710.0006098832,0.032771075,7.80263690476191
"Big Eye","Greece",2010,"Export",0,7200,14810.0005683077,0,0.019131607,2.65716763888889
"Yellow Fin","Grenada",2010,"Export",0,511998,12693187.002187,0,4.70117567,9.1820195977328
"Tuna N.E.C","Guatemala",2010,"Import",0,23553,0,117803,0.117803,5.00161338258396
"Yellow Fin","Guatemala",2010,"Import",0,9888049,0,36939239,36.939239,3.73574594947901
"Blue Fin","China, Hong Kong SAR",2010,"Export",0,7867,2453293.01234469,0,0.315778831,40.1396759883056
"Albacore","Hungary",2010,"Import",0,2300,0,25829.9998413644,0.034401902,14.9573486956522
"Tuna N.E.C","Iceland",2010,"Import",0,4321,0,1184426.86197242,0.009637187,2.23031404767415
"Yellow Fin","Iran",2010,"Import",0,1675404,0,1424262.19,1.42426219,0.850100745849956
"Tuna N.E.C","Iran",2010,"Import",0,218180,0,331274.83,0.33127483,1.51835562379686
"Blue Fin","Iran",2010,"Import",0,55000,0,33238.54,0.03323854,0.604337090909091
"Tuna N.E.C","Ireland",2010,"Import",0,7841,0,43741.9997413825,0.058844246,7.50468639204183
"Yellow Fin","Ireland",2010,"Import",0,53132,0,671036.002112131,0.884661945,16.6502662237446
"Albacore","Ireland",2010,"Export",0,104585,189035.000002028,0,0.259245553,2.47880243820816
"Tuna N.E.C","Israel",2010,"Import",0,0,0,1057000,1.057,Inf
"Yellow Fin","Israel",2010,"Import",0,0,0,1042000,1.042,Inf
"Tuna N.E.C","Israel",2010,"Export",0,0,6000,0,0.006,Inf
"Albacore","Italy",2010,"Export",0,1692200,0,0,8.085468863,4.77808111511642
"Albacore","Italy",2010,"Import",0,658700,0,0,4.430574286,6.72623999696372
"Yellow Fin","Italy",2010,"Import",0,21178000,0,0,62.056799109,2.93024832887903
"Yellow Fin","Italy",2010,"Export",0,235500,0,0,0.953656308,4.049496
"Tuna N.E.C","Italy",2010,"Import",0,1307400,0,0,6.226523277,4.76252354061496
"Tuna N.E.C","Italy",2010,"Export",0,333800,0,0,1.15246019,3.45254700419413
"Blue Fin","Italy",2010,"Import",0,367600,0,0,3.738413007,10.1697851115343
"Blue Fin","Italy",2010,"Export",0,179100,0,0,1.688636691,9.4284572361809
"Big Eye","Italy",2010,"Import",0,26000,0,0,0.380900512,14.6500196923077
"Blue Fin","Côte d'Ivoire",2010,"Export",0,1710,3044594.14733707,0,0.006623271,3.87325789473684
"Tuna N.E.C","Côte d'Ivoire",2010,"Import",0,16375514,0,2791655738.5808,5.66733644,0.346086018429711
"Tuna N.E.C","Côte d'Ivoire",2010,"Export",0,766557,454219733.61593,0,0.897636926,1.17099827671002
"Albacore","Japan",2010,"Import",0,23459750,0,6678455999.70661,78.021006266,3.32573903242788
"Albacore","Japan",2010,"Export",0,6975417,1501409999.93633,0,17.064848018,2.44642693304214
"Yellow Fin","Japan",2010,"Import",0,66189267,0,27989493999.9286,319.799953289,4.83159835096829
"Yellow Fin","Japan",2010,"Export",0,6588233,1286917999.8049,0,14.670184455,2.22672520158288
"Big Eye","Japan",2010,"Import",0,85436680,0,65805557999.5906,748.299770472,8.75853053363029
"Blue Fin","Japan",2010,"Import",0,14629980,0,23074574999.8053,267.036551997,18.2526942618513
"Blue Fin","Japan",2010,"Export",0,99947,259515999.614623,0,2.980738878,29.8231950733889
"Big Eye","Japan",2010,"Export",0,3221826,1282876999.9473,0,14.607358569,4.53387568695516
"Tuna N.E.C","Japan",2010,"Export",0,78399,17939000.0711963,0,0.198048775,2.52616455567035
"Yellow Fin","Kazakhstan",2010,"Import",0,1506.73,0,4017.3,0.0040173,2.66623748116783
"Tuna N.E.C","Jordan",2010,"Import",0,3287,0,36104.00006816,0.050850715,15.4702509887435
"Tuna N.E.C","Kenya",2010,"Import",0,0,0,129039013.020028,1.691841165,Inf
"Tuna N.E.C","Kenya",2010,"Export",0,0,11199.9846106494,0,0.000147147,Inf
"Yellow Fin","Latvia",2010,"Import",0,2556,0,3319.00000043266,0.006356444,2.48687167449139
"Yellow Fin","Latvia",2010,"Export",0,45,111.00006390813,0,0.000225793,5.01762222222222
"Big Eye","Lithuania",2010,"Import",0,710,0,15592,0.015592,21.9605633802817
"Yellow Fin","Luxembourg",2010,"Import",0,9800,0,210899.999338678,0.277654376,28.3320791836735
"Albacore","Luxembourg",2010,"Import",0,29600,0,201389.999488497,0.264022093,8.91966530405405
"Blue Fin","Luxembourg",2010,"Import",0,14000,0,137280.001332563,0.181778973,12.9842123571429
"Tuna N.E.C","Luxembourg",2010,"Import",0,1900,0,14769.9991405497,0.019892622,10.4698010526316
"Big Eye","Luxembourg",2010,"Import",0,100,0,1099.99956453592,0.001486567,14.86567
"Tuna N.E.C","Madagascar",2010,"Import",0,650481,0,1626133566.23621,0.784865577,1.20659262453477
"Albacore","Madagascar",2010,"Export",0,857167,144916368.189808,0,0.069608615,0.0812077634813286
"Big Eye","Madagascar",2010,"Export",0,3019845,682389028.578425,0,0.326222598,0.108026272209335
"Yellow Fin","Madagascar",2010,"Export",0,2871940,570772815.012883,0,0.273732806,0.0953128568145574
"Yellow Fin","Madagascar",2010,"Import",0,6550560,0,25612923851.5463,12.462646826,1.90253151272563
"Albacore","Madagascar",2010,"Import",0,30277,0,129673030.002034,0.06317004,2.08640354064141
"Yellow Fin","Malaysia",2010,"Export",0,34811.6,2638953.99673382,0,0.80482494,23.1194469659539
"Yellow Fin","Malaysia",2010,"Import",0,41511.24,0,1266289.01635229,0.390236222,9.40073633069019
"Tuna N.E.C","Malaysia",2010,"Import",0,547111.12,0,11272967.9943108,3.50973358,6.41502877879726
"Big Eye","Malaysia",2010,"Export",0,27538.2,6941517.0043816,0,2.064845376,74.9811307928623
"Tuna N.E.C","Malaysia",2010,"Export",0,484199.51,20526659.0012048,0,6.332145869,13.0775553015326
"Blue Fin","Malta",2010,"Export",0,5010600,53248440.001536,0,73.364595838,14.6418783854229
"Yellow Fin","Mauritius",2010,"Export",0,948680,72670297.0567962,0,2.322846679,2.44850389910191
"Big Eye","Mauritius",2010,"Import",0,9480004,0,403495027.942098,13.190172267,1.39136779551992
"Yellow Fin","Mauritius",2010,"Import",0,34069750,0,1900276356.01507,62.021390706,1.8204240038744
"Tuna N.E.C","Mauritius",2010,"Import",0,121306,0,10180110.930151,0.331490638,2.73268130183173
"Albacore","Mexico",2010,"Import",0,4319,0,11742,0.011742,2.71868488075944
"Yellow Fin","Mexico",2010,"Export",0,22397451.09,49114079,0,49.114079,2.1928423374001
"Blue Fin","Mexico",2010,"Export",0,1804435.248,23862711,0,23.862711,13.2244762046457
"Big Eye","Mexico",2010,"Import",0,1267104.28,0,1743419,1.743419,1.37590806654051
"Yellow Fin","Mexico",2010,"Import",0,5637851,0,9046927,9.046927,1.60467649819053
"Albacore","Montenegro",2010,"Export",0,5157,24738.6806166809,0,0.032978303,6.39486193523366
"Tuna N.E.C","Mozambique",2010,"Import",0,0,0,16910.91,0.01691091,Inf
"Albacore","Netherlands",2010,"Export",0,19300,0,0,0.182846032,9.47388766839378
"Blue Fin","Netherlands",2010,"Export",0,95700,0,0,0.704575498,7.36233540229885
"Yellow Fin","Netherlands",2010,"Export",0,263800,0,0,5.452115437,20.6676096929492
"Yellow Fin","Netherlands",2010,"Import",0,254200,0,0,2.196395356,8.6404223288749
"Tuna N.E.C","Netherlands",2010,"Export",0,16800,0,0,0.05647797,3.36178392857143
"Blue Fin","Netherlands",2010,"Import",0,72700,0,0,0.474328735,6.52446678129298
"Albacore","Aruba",2010,"Import",0,73431,0,669155.996992786,0.373830166,5.09090392341109
"Tuna N.E.C","Aruba",2010,"Import",0,34851,0,415919.001268498,0.232356984,6.66715399845054
"Tuna N.E.C","Aruba",2010,"Export",0,20,110.99968997558,0,6.2011e-05,3.10055
"Yellow Fin","New Caledonia",2010,"Export",0,181691,143157500.024642,0,1.620398086,8.91842791332537
"Albacore","New Caledonia",2010,"Export",0,861950,243299399.958337,0,2.74486477,3.18448259179767
"Big Eye","New Caledonia",2010,"Export",0,21112,18418500.1622871,0,0.207577267,9.83219339712012
"Tuna N.E.C","New Zealand",2010,"Export",0,132737,1558487.99944523,0,1.105031703,8.32497120621982
"Albacore","New Zealand",2010,"Export",0,1959958,6394358.0037716,0,4.507411369,2.29974895839605
"Albacore","New Zealand",2010,"Import",0,349323,0,311005.999806951,0.221962578,0.635407854621654
"Yellow Fin","New Zealand",2010,"Import",0,179479,0,1174308.00021153,0.846277752,4.71519092484357
"Yellow Fin","New Zealand",2010,"Export",0,4702,64201.9984220142,0,0.045782646,9.73684517226712
"Blue Fin","New Zealand",2010,"Export",0,436407,11705728.0002958,0,8.187901693,18.7620768983999
"Big Eye","New Zealand",2010,"Import",0,5284,0,53523.9995851468,0.039025585,7.38561411809235
"Big Eye","New Zealand",2010,"Export",0,145079,2292979.99750936,0,1.646691932,11.3503121196038
"Tuna N.E.C","Nicaragua",2010,"Export",0,21245.98,151601.95,0,0.15160195,7.13555929168718
"Yellow Fin","Nicaragua",2010,"Export",0,1680.45,11218,0,0.011218,6.67559284715404
"Yellow Fin","Norway",2010,"Import",0,2544,0,254481.999835066,0.041765401,16.4172173742138
"Blue Fin","Norway",2010,"Import",0,1792,0,306096.994823691,0.050568214,28.2188694196429
"Tuna N.E.C","Norway",2010,"Import",0,6026,0,688189.011254002,0.114893591,19.0663111516761
"Tuna N.E.C","Pakistan",2010,"Export",0,2897636,462074938.178549,0,5.405105276,1.86534998736901
"Yellow Fin","Peru",2010,"Import",0,3470771,5106450.19,5264976.65,5.26497665,1.51694728635223
"Albacore","Peru",2010,"Import",0,917457,1148973.27,1179151.74,1.17915174,1.2852392428201
"Yellow Fin","Philippines",2010,"Export",0,28022573,100790424,0,100.790424,3.59675837047512
"Big Eye","Philippines",2010,"Import",0,150163,0,151018,0.151018,1.00569381272351
"Yellow Fin","Philippines",2010,"Import",0,15747358,0,18537769,18.537769,1.17719867675581
"Tuna N.E.C","Philippines",2010,"Import",0,17041876,0,19549626,19.549626,1.147152226668
"Tuna N.E.C","Poland",2010,"Import",0,1148500,0,1567070.00217909,2.061730389,1.79515053461036
"Albacore","Poland",2010,"Import",0,72900,0,405200.000498912,0.539837557,7.40517910836763
"Blue Fin","Poland",2010,"Export",0,13700,29080.0002729898,0,0.039351517,2.87237350364963
"Yellow Fin","Poland",2010,"Import",0,98800,0,684409.999828962,0.904821746,9.15811483805668
"Tuna N.E.C","Portugal",2010,"Export",0,137936,667147.00168808,0,0.877974854,6.36508854831226
"Albacore","Portugal",2010,"Import",0,103065,0,451540.001374572,0.601877472,5.83978530053849
"Blue Fin","Portugal",2010,"Export",0,376654,2315930.00259818,0,3.05623003,8.11415790088516
"Yellow Fin","Portugal",2010,"Import",0,2376311,0,3886733.00292147,5.166289383,2.1740796482447
"Albacore","Portugal",2010,"Export",0,187013,803564.000865859,0,1.055901066,5.64613725249047
"Tuna N.E.C","Portugal",2010,"Import",0,105424,0,544079.002493788,0.725756757,6.88417017946577
"Big Eye","Portugal",2010,"Export",0,2126694,6514887.99865409,0,8.440258633,3.96872264321995
"Blue Fin","Portugal",2010,"Import",0,153445,0,927659.999297398,1.233527295,8.03888882009841
"Big Eye","Portugal",2010,"Import",0,149704,0,558311.001322713,0.748531458,5.00007653770106
"Yellow Fin","Portugal",2010,"Export",0,2351482,4306021.99760962,0,5.72886349,2.43627784095307
"Yellow Fin","Romania",2010,"Import",0,2643,0,24389.4007645401,0.028899503,10.9343560348089
"Blue Fin","Romania",2010,"Import",0,2786,0,10804.5300611698,0.012983075,4.66011306532663
"Tuna N.E.C","Romania",2010,"Import",0,23468,0,76199.330199588,0.098802533,4.21009600306801
"Albacore","Romania",2010,"Import",0,12545,0,48000.1800659098,0.059006243,4.70356660023914
"Yellow Fin","Senegal",2010,"Export",0,2462347,2389870696.1593,0,4.799047502,1.94897287100478
"Big Eye","Senegal",2010,"Export",0,720172,513859957.706844,0,1.043675357,1.44920290847187
"Blue Fin","Serbia",2010,"Import",0,4700,0,47579,0.047579,10.1231914893617
"Tuna N.E.C","Seychelles",2010,"Import",0,69227082,0,3376132088.25503,278.741850038,4.02648561783956
"Yellow Fin","Seychelles",2010,"Export",0,21975090.39,731988665.915117,0,60.463527132,2.75145749386836
"Albacore","Seychelles",2010,"Import",0,365910,0,33317428.7690977,2.763125401,7.5513798502364
"Tuna N.E.C","Seychelles",2010,"Export",0,1381134.1,38287231.4697526,0,3.131379576,2.26725238048934
"Albacore","Singapore",2010,"Export",0,4351.12,12716381,0,12.716381,2922.55350346577
"Tuna N.E.C","Singapore",2010,"Import",0,2707.97,0,11999389,11.999389,4431.13808498617
"Yellow Fin","Singapore",2010,"Import",0,617.63,0,3124055.57,3.12405557,5058.13443323673
"Albacore","Singapore",2010,"Import",0,4494.89,0,12752455.96,12.75245596,2837.10078778346
"Blue Fin","Singapore",2010,"Import",0,25.11,0,1534853,1.534853,61125.1692552768
"Tuna N.E.C","Singapore",2010,"Export",0,2468.88,8365004.15,0,8.36500415,3388.1776959593
"Big Eye","Singapore",2010,"Import",0,13.62,0,89134,0.089134,6544.34654919237
"Blue Fin","Slovakia",2010,"Import",0,24111.948,53004.9985109819,53004.9985109819,0.069599459,2.88651331696634
"Yellow Fin","Slovakia",2010,"Import",0,3812.215,64451.0004417866,64451.0004417866,0.086013598,22.5626303867961
"Big Eye","Slovakia",2010,"Import",0,29520,22538.9999050899,22538.9999050899,0.030051899,1.01801825880759
"Tuna N.E.C","Slovakia",2010,"Import",0,5009.139,16240.0002766881,16240.0002766881,0.022123051,4.4165376524788
"Albacore","Slovenia",2010,"Import",0,17669.83,0,143652.555,0.143652555,8.12982099997566
"Blue Fin","Slovenia",2010,"Import",0,1470.286,0,23599.623,0.023599623,16.0510424502444
"Yellow Fin","Slovenia",2010,"Import",0,9486.253,0,71237.245,0.071237245,7.50952404495221
"Albacore","South Africa",2010,"Export",0,7071949.23,133236866.990584,0,17.96113429,2.53977138492551
"Yellow Fin","South Africa",2010,"Import",0,93866.47,1497846.99627355,0,0.203383645,2.16673371226168
"Yellow Fin","South Africa",2010,"Export",0,311325.62,9661644.98681863,0,1.309356737,4.20574682224996
"Tuna N.E.C","South Africa",2010,"Export",0,128169.37,12952472.0129345,0,1.766380938,13.7816152018224
"Blue Fin","South Africa",2010,"Export",0,41429.34,2413996.01582518,0,0.33233022,8.02161511624371
"Tuna N.E.C","South Africa",2010,"Import",0,310944.18,3075859.00708961,0,0.41838124,1.34551880019108
"Big Eye","South Africa",2010,"Export",0,144820.06,15131707.9990939,0,2.061018491,14.2315815295202
"Yellow Fin","Spain",2010,"Export",0,50479918.56,65780024.7398576,0,87.066614108,1.72477723006849
"Yellow Fin","Spain",2010,"Import",0,86627728.15,0,145947659.517638,192.270269315,2.21950030805466
"Blue Fin","Spain",2010,"Export",0,2512570.7,37469731.062286,0,49.764274687,19.8061191619404
"Albacore","Spain",2010,"Export",0,3900087.24,6074567.54048352,0,8.106633565,2.07857749484599
"Albacore","Spain",2010,"Import",0,18942259.63,0,38998453.8304689,52.124455396,2.75175488110444
"Tuna N.E.C","Spain",2010,"Import",0,1071093.14,0,4113772.63726656,5.415858982,5.0563847155253
"Big Eye","Spain",2010,"Import",0,8226350.8,0,11682581.5111826,15.484565252,1.88231278102072
"Blue Fin","Spain",2010,"Import",0,1285831.82,0,7117573.04031805,9.186002698,7.14401569094782
"Tuna N.E.C","Spain",2010,"Export",0,656490.445,2396742.95339388,0,3.161216236,4.8153271080739
"Big Eye","Spain",2010,"Export",0,12216923.44,12773654.9573811,0,16.718737441,1.36848999038992
"Blue Fin","Sweden",2010,"Export",0,3200,24220.0004452295,0,0.032559489,10.1748403125
"Yellow Fin","Sweden",2010,"Import",0,25600,0,337749.999452438,0.440797536,17.21865375
"Tuna N.E.C","Sweden",2010,"Import",0,6200,0,55890.0008563837,0.073118089,11.7932401612903
"Albacore","Sweden",2010,"Import",0,6800,0,73909.9988902931,0.097960403,14.4059416176471
"Big Eye","Sweden",2010,"Export",0,700,40329.9996537853,0,0.053416069,76.30867
"Big Eye","Sweden",2010,"Import",0,1000,0,52889.9985608708,0.070153197,70.153197
"Yellow Fin","Thailand",2010,"Import",0,15083225,0,30914054,30.914054,2.04956526207094
"Yellow Fin","Thailand",2010,"Export",0,15083225,30914054,0,30.914054,2.04956526207094
"Tuna N.E.C","Thailand",2010,"Export",0,1480533,740220,0,0.74022,0.499968592392064
"Tuna N.E.C","Thailand",2010,"Import",0,1480533,0,740220,0.74022,0.499968592392064
"Albacore","Thailand",2010,"Export",0,711417,1124363,0,1.124363,1.58045562588468
"Albacore","Thailand",2010,"Import",0,711417,0,1124363,1.124363,1.58045562588468
"Tuna N.E.C","Togo",2010,"Import",0,762175,0,239272499.59163,0.485176289,0.636568096565749
