"Species","reporter_desc","Year","flow_desc","Total_Gross_Wgt","Total_Net_Wgt","Total_Domestic_Currency_FOBValue","Total_Domestic_Currency_CIFValue","Total_Domestic_Currency_PrimaryValue","Domestic_Price"
"Tuna N.E.C","Andorra",2010,"Import",0,15690,0,132425.879672725,0.176772109,11.2665461440408
"Yellow Fin","Antigua and Barbuda",2010,"Import",0,4282.36,0,83414.9499149499,0.030894395,7.21433858900232
"Albacore","Antigua and Barbuda",2010,"Import",0,517.63,0,7487.56108756109,0.002773168,5.35743291540289
"Big Eye","Australia",2010,"Import",0,23.418,0,56701.2841804847,0.056322156,2405.07968229567
"Big Eye","Australia",2010,"Export",242891.5,224408.971,5321388.99952987,0,4.979644834,22.1900435254881
"Yellow Fin","Australia",2010,"Export",206396.6,190224.233,5682951.00218987,0,5.448201271,28.6409422452501
"Yellow Fin","Australia",2010,"Import",25124,19866.661,150272.570652863,1182646.31860196,1.123148003,56.5343115785788
"Albacore","Australia",2010,"Export",178220.5,168413.978,2289168.9967533,0,2.179309286,12.9401924464963
"Blue Fin","Australia",2010,"Export",762714.8,625294.185,119258797.001408,0,117.825822025,188.432620759139
"Tuna N.E.C","Australia",2010,"Export",56380.1,54017.236,1108809.00108703,0,1.058800628,19.6011626363111
"Tuna N.E.C","Australia",2010,"Import",6405,4863.846,35426.7693934611,133634.516173537,0.122378616,25.1608739256958
"Albacore","Austria",2010,"Import",0,30600,0,304109.997756017,0.401453682,13.119401372549
"Tuna N.E.C","Austria",2010,"Import",0,22100,0,308089.998776806,0.404967067,18.3243016742081
"Tuna N.E.C","Austria",2010,"Export",0,2200,29109.9966845225,0,0.04000358,18.1834454545455
"Albacore","Austria",2010,"Export",0,400,1559.99948552835,0,0.001998544,4.99636
"Yellow Fin","Austria",2010,"Import",0,19100,0,305949.998493701,0.407436932,21.3317765445026
"Albacore","Armenia",2010,"Import",0,344465,0,191192.46,0.19119246,0.555041760411072
"Yellow Fin","Belgium",2010,"Export",0,33791.42,266703.570352228,0,0.347980235,10.2978873039369
"Tuna N.E.C","Belgium",2010,"Import",0,94223.27,0,1029040.84129799,1.361201877,14.4465573843914
"Yellow Fin","Belgium",2010,"Import",0,161173.88,0,1722268.36713938,2.277783889,14.1324629586382
"Albacore","Belgium",2010,"Export",0,15882.83,78298.9087079661,0,0.104224452,6.56208320557482
"Blue Fin","Belgium",2010,"Import",0,64348.59,0,680072.129194745,0.900367626,13.992033485116
"Albacore","Belgium",2010,"Import",0,497562.39,0,1843407.25693688,2.414470103,4.85259768729706
"Big Eye","Belgium",2010,"Import",0,14300.09,0,95611.5900834144,0.123181503,8.61403690466284
